collective,num_nodes,num_gpus,hotspot_start_bytes,hotspot_end_bytes,hotspot_start_human,hotspot_end_human,expected_busbw,actual_busbw_min,actual_busbw_max,drop_percent_min,drop_percent_max,current_algo,current_proto,current_nchannels,data_points
broadcast_perf,1,8,524288,524288,512KB,512KB,13.04,10.18,10.18,21.9,21.9,DEFAULT,DEFAULT,0,1
reduce_perf,1,8,524288,524288,512KB,512KB,12.26,9.78,9.78,20.2,20.2,DEFAULT,DEFAULT,0,1
