collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,busbw_ip,time_ip_us,busbw_oop,time_oop_us,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,3,24,4096,TREE,LL,32,TREE,LL,0,0.11,71.63,0.11,74.59,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL,40,TREE,LL,0,0.11,72.12,0.11,73.16,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL,48,TREE,LL,0,0.11,72.28,0.11,72.44,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,1,TREE,LL128,0,0.1,80.73,0.09,83.51,3,10.000000000000009,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,2,TREE,LL128,0,0.1,80.29,0.09,83.49,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,4,TREE,LL128,0,0.1,80.65,0.1,80.71,3,10.000000000000009,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,8,TREE,LL128,0,0.09,82.73,0.1,80.26,3,11.111111111111121,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,16,TREE,LL128,0,0.1,79.96,0.1,80.32,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,24,TREE,LL128,0,0.1,80.16,0.09,83.66,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,32,TREE,LL128,0,0.1,80.46,0.1,80.58,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,40,TREE,LL128,0,0.1,80.73,0.09,84.35,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,LL128,48,TREE,LL128,0,0.1,80.12,0.09,83.37,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,SIMPLE,1,TREE,SIMPLE,0,0.07,113.16,0.07,117.77,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,SIMPLE,2,TREE,SIMPLE,0,0.07,113.1,0.07,115.32,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,SIMPLE,4,TREE,SIMPLE,0,0.07,113.9,0.07,116.1,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4096,TREE,SIMPLE,8,TREE,SIMPLE,0,0.07,113.13,0.07,118.72,3,0.0,1024,float,sum,0.01,0.01,0,0
