collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,busbw_ip,time_ip_us,busbw_oop,time_oop_us,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,4096,TREE,LL,24,TREE,LL,0,0.38,19.11,0.35,20.55,3,5.263157894736847,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,8192,TREE,LL,4,TREE,LL,0,0.71,20.31,0.68,20.94,3,1.4084507042253531,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,16384,TREE,LL,40,TREE,LL,0,1.37,20.95,1.21,23.72,3,8.029197080291961,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,32768,TREE,LL,40,TREE,LL,0,2.76,20.8,2.69,21.3,3,2.5362318840579654,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,65536,TREE,LL,40,TREE,LL,0,5.37,21.34,5.26,21.81,3,0.5586592178770831,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,131072,TREE,LL,32,TREE,LL,0,9.33,24.58,8.5,27.0,3,0.6430868167202435,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,262144,RING,LL,56,RING,LL,0,18.17,25.24,17.56,26.13,3,0.7705008255366018,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,524288,RING,LL,48,RING,LL,0,35.54,25.82,34.19,26.84,3,0.7034327518289252,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,1048576,RING,LL,56,RING,LL,0,49.62,36.98,48.12,38.14,3,0.8262797259169764,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,2097152,RING,SIMPLE,48,RING,SIMPLE,0,80.27,45.72,77.67,47.25,3,0.5356920393671267,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,4194304,RING,SIMPLE,56,RING,SIMPLE,0,128.56,57.09,124.79,58.82,3,0.0544492843808285,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,8388608,RING,SIMPLE,56,RING,SIMPLE,0,197.8,74.22,192.56,76.24,3,0.151668351870582,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,16777216,RING,SIMPLE,56,RING,SIMPLE,0,269.37,109.0,265.15,110.73,3,0.2227419534469401,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,33554432,RING,SIMPLE,56,RING,SIMPLE,0,318.54,184.34,316.54,185.5,3,0.345325547811881,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,67108864,RING,SIMPLE,56,,,0,355.99,329.9,355.72,330.15,3,0.0224725413635169,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,134217728,RING,SIMPLE,56,,,0,379.23,619.37,379.03,619.69,3,0.1555784088811473,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,268435456,RING,SIMPLE,56,,,0,390.13,1204.13,389.74,1205.32,3,0.1204726629584934,1024,float,sum,0.1,0.04,0,0
all_reduce_perf,1,8,536870912,RING,SIMPLE,56,,,0,396.47,2369.75,396.49,2369.57,3,0.0529674376371426,1024,float,sum,0.1,0.04,0,0
