utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-16T12:21:29Z,warmup,2n,warmup_r1,11,0,ok
2026-08-16T12:21:41Z,warmup,2n,warmup_r2,11,0,ok
2026-08-16T12:21:52Z,warmup,2n,warmup_r3,10,0,ok
2026-08-16T12:22:03Z,warmup,2n,warmup_r4,11,0,ok
2026-08-16T12:22:14Z,validate_conf,2n,default_r1,11,0,ok
2026-08-16T12:22:25Z,validate_conf,2n,config_r1,11,0,ok
2026-08-16T12:22:37Z,validate_conf,2n,default_r2,11,0,ok
2026-08-16T12:22:48Z,validate_conf,2n,config_r2,10,0,ok
2026-08-16T12:22:59Z,validate_conf,2n,default_r3,11,0,ok
2026-08-16T12:23:10Z,validate_conf,2n,config_r3,11,0,ok
2026-08-16T12:23:22Z,validate_conf,2n,default_r4,11,0,ok
2026-08-16T12:23:33Z,validate_conf,2n,config_r4,11,0,ok
2026-08-16T12:23:44Z,validate_conf,2n,default_r5,10,0,ok
2026-08-16T12:23:55Z,validate_conf,2n,config_r5,11,0,ok
2026-08-16T12:24:07Z,validate_conf,2n,default_r6,11,0,ok
2026-08-16T12:24:18Z,validate_conf,2n,config_r6,10,0,ok
2026-08-16T12:24:29Z,validate_conf,2n,default_r7,11,0,ok
2026-08-16T12:24:40Z,validate_conf,2n,config_r7,11,0,ok
