utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-04T14:17:11Z,validate_conf,2n,default_r1,11,0,ok
2026-08-04T14:17:22Z,validate_conf,2n,config_r1,10,0,ok
2026-08-04T14:17:33Z,validate_conf,2n,default_r2,11,0,ok
2026-08-04T14:17:44Z,validate_conf,2n,config_r2,10,0,ok
2026-08-04T14:17:55Z,validate_conf,2n,default_r3,11,0,ok
2026-08-04T14:18:07Z,validate_conf,2n,config_r3,10,0,ok
2026-08-04T14:18:17Z,validate_conf,2n,default_r4,11,0,ok
2026-08-04T14:18:28Z,validate_conf,2n,config_r4,10,0,ok
2026-08-04T14:18:39Z,validate_conf,2n,default_r5,10,0,ok
2026-08-04T14:18:50Z,validate_conf,2n,config_r5,11,0,ok
2026-08-04T14:19:01Z,validate_conf,2n,default_r6,11,0,ok
2026-08-04T14:19:13Z,validate_conf,2n,config_r6,10,0,ok
2026-08-04T14:19:23Z,validate_conf,2n,default_r7,11,0,ok
2026-08-04T14:19:35Z,validate_conf,2n,config_r7,11,0,ok
