utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-04T13:39:15Z,validate_conf,1n,default_r1,11,0,ok
2026-08-04T13:39:27Z,validate_conf,1n,config_r1,11,0,ok
2026-08-04T13:39:38Z,validate_conf,1n,default_r2,11,0,ok
2026-08-04T13:39:50Z,validate_conf,1n,config_r2,11,0,ok
2026-08-04T13:40:01Z,validate_conf,1n,default_r3,11,0,ok
2026-08-04T13:40:12Z,validate_conf,1n,config_r3,11,0,ok
2026-08-04T13:40:24Z,validate_conf,1n,default_r4,11,0,ok
2026-08-04T13:40:35Z,validate_conf,1n,config_r4,11,0,ok
2026-08-04T13:40:47Z,validate_conf,1n,default_r5,11,0,ok
2026-08-04T13:40:58Z,validate_conf,1n,config_r5,11,0,ok
2026-08-04T13:41:10Z,validate_conf,1n,default_r6,11,0,ok
2026-08-04T13:41:21Z,validate_conf,1n,config_r6,11,0,ok
2026-08-04T13:41:33Z,validate_conf,1n,default_r7,11,0,ok
2026-08-04T13:41:44Z,validate_conf,1n,config_r7,11,0,ok
