collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
broadcast_perf,2,16,4096,1024,float,none,95.85,0.04,0.04,0,57.05,0.07,0.07,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,8192,2048,float,none,138.56,0.06,0.06,0,48.94,0.17,0.17,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,16384,4096,float,none,76.87,0.21,0.21,0,59.8,0.27,0.27,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,32768,8192,float,none,89.7,0.37,0.37,0,64.28,0.51,0.51,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,65536,16384,float,none,137.77,0.48,0.48,0,146.39,0.45,0.45,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,131072,32768,float,none,130.46,1.0,1.0,0,316.59,0.41,0.41,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,262144,65536,float,none,207.65,1.26,1.26,0,122.63,2.14,2.14,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,524288,131072,float,none,158.76,3.3,3.3,0,103.72,5.05,5.05,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,1048576,262144,float,none,188.76,5.56,5.56,0,269.45,3.89,3.89,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,2097152,524288,float,none,298.09,7.04,7.04,0,272.68,7.69,7.69,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,4194304,1048576,float,none,527.44,7.95,7.95,0,507.9,8.26,8.26,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,8388608,2097152,float,none,736.06,11.4,11.4,0,711.9,11.78,11.78,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,16777216,4194304,float,none,1557.8,10.77,10.77,0,1493.85,11.23,11.23,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,33554432,8388608,float,none,2233.77,15.02,15.02,0,2517.63,13.33,13.33,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,67108864,16777216,float,none,4708.55,14.25,14.25,0,4612.41,14.55,14.55,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,134217728,33554432,float,none,9199.82,14.59,14.59,0,8886.78,15.1,15.1,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,268435456,67108864,float,none,18303.8,14.67,14.67,0,17321.9,15.5,15.5,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,536870912,134217728,float,none,33835.0,15.87,15.87,0,33014.1,16.26,16.26,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,4096,1024,float,none,20.98,0.2,0.2,0,17.87,0.23,0.23,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,8192,2048,float,none,20.59,0.4,0.4,0,17.98,0.46,0.46,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,16384,4096,float,none,24.38,0.67,0.67,0,21.25,0.77,0.77,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,32768,8192,float,none,30.6,1.07,1.07,0,25.11,1.31,1.31,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,65536,16384,float,none,41.35,1.58,1.58,0,37.9,1.73,1.73,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,131072,32768,float,none,59.95,2.19,2.19,0,59.66,2.2,2.2,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,262144,65536,float,none,106.45,2.46,2.46,0,107.0,2.45,2.45,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,524288,131072,float,none,206.47,2.54,2.54,0,208.07,2.52,2.52,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,1048576,262144,float,none,411.56,2.55,2.55,0,411.51,2.55,2.55,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,2097152,524288,float,none,821.06,2.55,2.55,0,817.36,2.57,2.57,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,4194304,1048576,float,none,1617.95,2.59,2.59,0,1611.67,2.6,2.6,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,8388608,2097152,float,none,3235.2,2.59,2.59,0,3212.62,2.61,2.61,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,16777216,4194304,float,none,6636.11,2.53,2.53,0,6421.4,2.61,2.61,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,33554432,8388608,float,none,13089.1,2.56,2.56,0,13180.5,2.55,2.55,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,67108864,16777216,float,none,26139.7,2.57,2.57,0,26008.1,2.58,2.58,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,2,16,134217728,33554432,float,none,52709.2,2.55,2.55,0,51381.1,2.61,2.61,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
