utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-16T08:44:38Z,validate_conf,1n,default_r1,12,0,ok
2026-08-16T08:44:50Z,validate_conf,1n,config_r1,12,0,ok
2026-08-16T08:45:02Z,validate_conf,1n,default_r2,12,0,ok
2026-08-16T08:45:14Z,validate_conf,1n,config_r2,12,0,ok
2026-08-16T08:45:26Z,validate_conf,1n,default_r3,11,0,ok
2026-08-16T08:45:38Z,validate_conf,1n,config_r3,12,0,ok
2026-08-16T08:45:51Z,validate_conf,1n,default_r4,12,0,ok
2026-08-16T08:46:03Z,validate_conf,1n,config_r4,12,0,ok
2026-08-16T08:46:16Z,validate_conf,1n,default_r5,11,0,ok
2026-08-16T08:46:27Z,validate_conf,1n,config_r5,12,0,ok
2026-08-16T08:46:40Z,validate_conf,1n,default_r6,12,0,ok
2026-08-16T08:46:52Z,validate_conf,1n,config_r6,13,0,ok
2026-08-16T08:47:06Z,validate_conf,1n,default_r7,11,0,ok
2026-08-16T08:47:17Z,validate_conf,1n,config_r7,11,0,ok
